id,name,city,state,website,keep_id,keep_name,keep_city,keep_website,metres
12750,Eagles Rest Cellars,Stroudsburg,PA,https://eaglesrestcellars.com,10035,Eagles Rest Cellars,Stroud Twp,https://eaglesrestcellars.com/,553
9241,Franklin Hill Vineyards,Bangor,PA,https://linktr.ee/franklinhillvineyards?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAdGRleAQelCFleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAadnmdCiT5A-X3rxlM6gJhXWgemzQuY_pcYqtoVC4VzWVc3JKNSyaEC0qu7cqQ_aem_WDANXnV88LFXZWdjlrD37Q,2770,Franklin Hill Vineyards,Bangor,http://franklinhillvineyards.com,854
1853,Glades Pike Winery,Somerset,PA,,10854,Glades Pike Winery,Somerset,http://www.gladespikewinery.com,673
9245,Greenhouse Winery,Irwin,PA,http://www.greenhousewinery.com,5133,Greenhouse Winery,No Huntingdon,http://www.greenhousewinery.com,150
8646,Groundhog Winery,Punxsutawney,PA,http://www.groundhogwinery.com/,8408,Groundhog Winery,Punxsutawney,http://www.groundhogwinery.com/,725
13418,La Vigneta Winery,Sarver,PA,http://www.lavignetawinery.com/,11863,La Vigneta Winery,Sarver,http://www.lavignetawinery.com,554
12173,Mountain View Vineyard,Stroudsburg,PA,http://www.mountainviewvineyard.com,9934,Mountain View Vineyard,Stroudsburg,https://mountainviewvineyard.com,2281
12286,Nissley Vineyards Wine Shop & Tasting Room,East Lampeter Twp,PA,https://nissleywine.com/visit-us/shops-hours/,887,Nissley Vineyards Wine Shop & Tasting Room,Lancaster,http://nissleywine.com/,2239
9148,Nova Cellars Winery,Pulaski,PA,https://www.nova.wine,1006,Nova Cellars Winery,Pulaski,http://www.nova.wine/,444
686,The Renegade Winery,Stroudsburg,PA,https://www.therenegadewinery.com,187,Renegade Winery,East Stroudsburg,https://www.therenegadewinery.com/,2617
5546,Setter Fields Vineyard,Shickshinny,PA,https://setter-fields-vineyard.business.site,4272,Setter Fields Vineyard,Shickshinny,https://www.setter-fields-vineyard.business.site,467
11992,Shade Mountain Winery,Danville,PA,https://www.shademountainwinery.com,3934,Shade Mountain Winery,Danville,https://www.shademountainwinery.com,2727
13030,The Winery at Wilcox,Wilcox,PA,http://www.wineryatwilcox.net,6112,The Winery At Wilcox,Jones Twp,http://www.wineryatwilcox.com/,1958
9608,Sakonnet Vineyard,Little Compton,RI,https://www.sakonnetwine.com,7302,Sakonnet Vineyard,Little Compton,http://www.sakonnetwine.com/,484
11062,Boardwalk Winery,Myrtle Beach,SC,http://boardwalkwinery.com,10248,Boardwalk Winery,Myrtle Beach,http://www.boardwalkwinery.com/,529
12228,Big Creek Winery,Pulaski,TN,,13939,Big Creek Winery,Pulaski,http://BigCreekWineryTennessee.com/,433
10856,Grinder's Switch Winery,Centerville,TN,http://www.gswinery.com,1093,Grinder's Switch Winery,Centerville,http://www.gswinery.com,1839
13235,Paris Winery,Cookeville,TN,pariswinery.com,10552,Paris Winery,Cookeville,https://www.pariswineryofcookeville.com/,2586
11154,4r Ranch Vineyards And Winery,Muenster,TX,https://www.4rwines.com,10604,4R Ranch Vineyards and Winery,Muenster,http://4rwines.com/,583
2615,Arrowhead Creek Vineyards,Stonewall,TX,http://www.arrowheadcreekvineyard.com/events/calendar,1049,Arrowhead Creek Vineyards,Stonewall,https://arrowheadcreekvineyard.com/,91
12356,Augusta Vin,Fredericksburg,TX,https://augustavin.com/,10932,Augusta Vin,Fredericksburg,https://augustavin.com,421
10008,Busted Oak Cellars,Ledbetter,TX,http://bustedoakcellars.com,9333,Busted Oak Cellars,Carmine,http://Bustedoakcellars.com/,602
10947,Chapelton Vineyards,Washington,TX,http://chapeltonvineyards.com/,8269,Chapelton Vineyards,Washington,http://www.chapeltonvineyards.com,385
8991,Driftwood Estate Winery,Driftwood,TX,https://driftwoodwine.com,2062,Driftwood Estate Winery,Driftwood,http://www.driftwoodwine.com/,549
13187,Dry Comal Creek Vineyards,New Braunfels,TX,https://linktr.ee/DryComalCreekVineyards,4902,Dry Comal Creek Vineyards,New Braunfels,https://drycomalcreekvineyards.com/,951
12142,Featherstone Ranch Vineyards,Stonewall,TX,,12390,Featherstone Ranch Vineyards,Stonewall,http://www.featherstoneranch.com/,520
11945,French Connection Wines,Hye,TX,https://www.frenchconnectionhye.com/,11300,French Connection Wines,Hye,https://www.frenchconnectionhye.com/,550
9573,Kissing Tree Vineyards,Bruceville-Eddy,TX,http://www.kissingtreevineyards.com,6611,Kissing Tree Vineyards,Eddy,http://kissingtreevineyards.com,1010
6717,Maydelle Country Wines,Rusk,TX,http://www.maydellewines.com/,6076,Maydelle Country Wines,Rusk,https://maydellewines.com,1543
8323,Meierstone Vineyards,Stonewall,TX,http://www.meierstonevineyards.com,7278,Meierstone Vineyards,Stonewall,https://www.meierstonevineyards.com/events/,784
14110,Meridian Hive,Austin,TX,http://www.meridianhive.com/,7401,Meridian Hive,Austin,http://www.meridianhive.com/,1018
10657,Messina Hof Estate Winery,Bryan,TX,http://www.messinahof.com,2224,Messina Hof Estate Winery,Bryan,https://www.messinahof.com,1345
7841,Pontotoc Vineyard Weingarten,Fredericksburg,TX,http://www.pontotocvineyard.com/,3264,Pontotoc Vineyard Weingarten,Fredericksburg,https://pontotocvineyard.com,1111
